Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
186.0,,,,,,,,,0.049,60.6,1.45,0.07
189.0,,,,,,,,,0.049,59.1,1.44,0.068
192.0,,,,,,,,,0.049,57.5,1.41,0.062
195.0,,,,,,,,,0.049,57.2,1.37,0.06
198.0,,,,,,,,,0.049,55.6,1.34,0.06
201.0,,,,,,,,,0.049,52.9,1.34,0.058
204.0,,,,,,,,,0.048,54.0,1.33,0.06
207.0,,,,,,,,,0.048,55.8,1.37,0.056
210.0,,,,,,,,,0.048,56.4,1.37,0.051
213.0,,,,,,,,,0.048,54.5,1.38,0.048
216.0,,,,,,,,,0.047,56.7,1.42,0.049
219.0,,,,,,,,,0.047,55.8,1.45,0.048
222.0,,,,,,,,,0.047,55.5,1.47,0.051
225.0,,,,,,,,,0.046,54.4,1.48,0.055
228.0,,,,,,,,,0.046,54.8,1.5,0.056
231.0,,,,,,,,,0.046,54.9,1.52,0.058
234.0,,,,,,,,,0.046,54.1,1.52,0.06
237.0,,,,,,,,,0.046,54.4,1.53,0.061
240.0,,,,,,,,,0.046,56.3,1.53,0.064
243.0,,,,,,,,,0.046,55.4,1.52,0.067
246.0,,,,,,,,,0.046,54.0,1.5,0.068
249.0,,,,,,,,,0.046,54.1,1.51,0.068
252.0,,,,,,,,,0.046,55.9,1.54,0.07
255.0,,,,,,,,,0.045,56.5,1.55,0.072
258.0,,,,,,,,,0.045,56.0,1.56,0.072
261.0,,,,,,,,,0.045,56.7,1.55,0.072
264.0,,,,,,,,,0.045,57.1,1.55,0.068
267.0,,,,,,,,,0.045,56.2,1.54,0.06
270.0,,,,,,,,,0.044,54.9,1.55,0.058
273.0,,,,,,,,,0.044,55.4,1.55,0.06
276.0,,,,,,,,,0.043,55.5,1.56,0.06
279.0,,,,,,,,,0.044,54.4,1.52,0.062
282.0,,,,,,,,,0.044,55.8,1.52,0.06
285.0,,,,,,,,,0.044,56.5,1.52,0.057
288.0,,,,,,,,,0.044,58.4,1.53,0.053
291.0,,,,,,,,,0.044,58.5,1.56,0.05
294.0,,,,,,,,,0.044,58.3,1.56,0.047
297.0,,,,,,,,,0.044,57.7,1.56,0.046
300.0,,,,,,,,,0.043,58.3,1.57,0.049
303.0,,,,,,,,,0.044,59.7,1.58,0.052
306.0,,,,,,,,,0.044,60.8,1.58,0.055
309.0,,,,,,,,,0.044,59.0,1.58,0.058
312.0,,,,,,,,,0.044,59.0,1.59,0.06
315.0,,,,,,,,,0.044,59.8,1.6,0.062
318.0,,,,,,,,,0.043,60.6,1.65,0.063
321.0,,,,,,,,,0.043,59.8,1.66,0.06
324.0,,,,,,,,,0.043,60.4,1.65,0.06
327.0,,,,,,,,,0.044,61.0,1.67,0.058
330.0,,,,,,,,,0.044,61.1,1.72,0.056
333.0,,,,,,,,,0.044,63.9,1.77,0.055
336.0,,,,,,,,,0.044,65.3,1.77,0.053
339.0,,,,,,,,,0.044,63.2,1.77,0.05
342.0,,,,,,,,,0.043,62.6,1.74,0.05
345.0,,,,,,,,,0.043,62.6,1.79,0.052
348.0,,,,,,,,,0.043,63.5,1.79,0.05
351.0,,,,,,,,,0.042,63.4,1.8,0.047
354.0,,,,,,,,,0.042,62.7,1.8,0.044
357.0,,,,,,,,,0.042,63.8,1.81,0.045
360.0,,,,,,,,,0.042,63.8,1.8,0.047
363.0,,,,,,,,,0.042,62.0,1.79,0.051
366.0,,,,,,,,,0.042,62.0,1.76,0.052
369.0,,,,,,,,,0.041,60.0,1.75,0.053
372.0,,,,,,,,,0.041,58.7,1.74,0.056
375.0,,,,,,,,,0.04,59.6,1.76,0.061
378.0,,,,,,,,,0.04,58.0,1.78,0.067
381.0,,,,,,,,,0.04,60.0,1.78,0.066
384.0,,,,,,,,,0.039,58.8,1.78,0.067
387.0,,,,,,,,,0.039,59.3,1.82,0.065
390.0,,,,,,,,,0.038,59.3,1.84,0.066
393.0,,,,,,,,,0.038,58.7,1.87,0.06
396.0,,,,,,,,,0.037,58.7,1.92,0.063
399.0,,,,,,,,,0.037,59.1,1.95,0.062
402.0,,,,,,,,,0.036,57.7,1.95,0.061
405.0,,,,,,,,,0.036,56.1,1.95,0.055
408.0,,,,,,,,,0.036,55.2,1.98,0.052
411.0,,,,,,,,,0.035,54.8,1.96,0.051
414.0,,,,,,,,,0.035,53.6,1.98,0.048
417.0,,,,,,,,,0.034,55.1,2.01,0.047
420.0,,,,,,,,,0.034,56.6,2.08,0.047
423.0,,,,,,,,,0.033,56.2,2.11,0.054
426.0,,,,,,,,,0.032,55.4,2.11,0.059
429.0,,,,,,,,,0.032,54.7,2.12,0.062
432.0,,,,,,,,,0.031,54.7,2.13,0.065
435.0,,,,,,,,,0.03,54.3,2.2,0.073
438.0,,,,,,,,,0.03,54.6,2.24,0.085
441.0,,,,,,,,,0.029,52.7,2.24,0.096
444.0,,,,,,,,,0.028,49.3,2.22,0.099
447.0,,,,,,,,,0.028,48.9,2.22,0.099
450.0,,,,,,,,,0.027,49.1,2.26,0.096
453.0,,,,,,,,,0.027,49.4,2.3,0.092
456.0,,,,,,,,,0.026,48.6,2.3,0.086
459.0,,,,,,,,,0.026,48.5,2.28,0.091
462.0,,,,,,,,,0.025,48.4,2.31,0.097
465.0,,,,,,,,,0.025,44.6,2.3,0.097
468.0,,,,,,,,,0.024,43.8,2.33,0.096
471.0,,,,,,,,,0.024,43.2,2.36,0.096
474.0,,,,,,,,,0.023,44.1,2.36,0.1
477.0,,,,,,,,,0.022,40.4,2.32,0.114
480.0,,,,,,,,,0.022,38.3,2.23,0.129
483.0,,,,,,,,,0.022,36.5,2.17,0.153
486.0,,,,,,,,,0.021,32.5,2.15,0.173
489.0,,,,,,,,,0.021,31.5,2.11,0.183
492.0,,,,,,,,,0.02,30.1,2.08,0.199
495.0,,,,,,,,,0.02,28.4,1.98,0.222
498.0,,,,,,,,,0.02,28.5,1.96,0.23
501.0,,,,,,,,,0.02,26.3,1.91,0.22
504.0,,,,,,,,,0.019,28.5,1.95,0.213
507.0,,,,,,,,,0.018,25.4,2.01,0.202
510.0,,,,,,,,,0.018,25.0,2.07,0.207
513.0,,,,,,,,,0.017,24.8,2.12,0.2
516.0,,,,,,,,,0.016,25.6,2.25,0.208
519.0,,,,,,,,,0.015,25.8,2.37,0.212
522.0,,,,,,,,,0.015,24.4,2.45,0.23
525.0,,,,,,,,,0.015,26.4,2.53,0.242
528.0,,,,,,,,,0.014,25.0,2.56,0.254
531.0,,,,,,,,,0.014,25.7,2.61,0.259
534.0,,,,,,,,,0.014,24.6,2.54,0.257
537.0,,,,,,,,,0.014,25.0,2.66,0.279
540.0,,,,,,,,,0.014,23.5,2.55,0.268
543.0,,,,,,,,,0.014,24.4,2.59,0.276
546.0,,,,,,,,,0.014,23.8,2.63,0.282
549.0,,,,,,,,,0.013,25.7,2.73,0.288
552.0,,,,,,,,,0.013,27.5,2.96,0.309
555.0,,,,,,,,,0.012,26.5,2.92,0.305
558.0,,,,,,,,,0.012,27.8,3.27,0.337
561.0,,,,,,,,,0.012,26.9,3.24,0.313
