Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,1.9,0.0,0.0
3.0,,,,,,,,,0.0,2.4,0.0,0.0
6.0,,,,,,,,,0.0,1.4,0.0,0.0
9.0,,,,,,,,,0.0,1.7,0.0,0.0
12.0,,,,,,,,,0.0,0.2,0.0,0.0
15.0,,,,,,,,,0.0,0.7,0.0,0.0
18.0,,,,,,,,,0.0,0.0,0.0,0.0
21.0,,,,,,,,,0.0,-1.2,0.0,0.0
24.0,,,,,,,,,0.0,1.9,0.0,0.0
27.0,,,,,,,,,0.0,1.4,0.0,0.0
30.0,,,,,,,,,0.0,0.0,0.0,0.0
33.0,,,,,,,,,0.106,1.2,0.15,0.011
36.0,,,,,,,,,0.104,2.6,0.16,0.016
39.0,,,,,,,,,0.101,2.9,0.17,0.022
42.0,,,,,,,,,0.098,4.1,0.19,0.03
45.0,,,,,,,,,0.096,7.2,0.21,0.037
48.0,,,,,,,,,0.094,44.9,0.21,0.03
51.0,,,,,,,,,0.092,126.8,1.72,0.013
54.0,,,,,,,,,0.09,191.5,2.35,0.007
57.0,,,,,,,,,0.088,223.7,2.7,0.005
60.0,,,,,,,,,0.087,233.4,2.79,0.006
63.0,,,,,,,,,0.086,234.4,2.84,0.006
66.0,,,,,,,,,0.084,223.3,2.77,0.006
69.0,,,,,,,,,0.083,201.5,2.53,0.009
72.0,,,,,,,,,0.083,174.8,2.23,0.009
75.0,,,,,,,,,0.082,152.7,2.01,0.008
78.0,,,,,,,,,0.081,135.0,1.83,0.008
81.0,,,,,,,,,0.08,120.9,1.71,0.006
84.0,,,,,,,,,0.079,110.9,1.6,0.005
87.0,,,,,,,,,0.078,99.4,1.51,0.004
90.0,,,,,,,,,0.077,93.1,1.44,0.003
93.0,,,,,,,,,0.076,86.1,1.36,0.006
96.0,,,,,,,,,0.075,82.6,1.34,0.01
99.0,,,,,,,,,0.073,81.4,1.35,0.019
102.0,,,,,,,,,0.07,77.7,1.34,0.023
105.0,,,,,,,,,0.068,75.0,1.32,0.031
108.0,,,,,,,,,0.067,71.7,1.28,0.039
111.0,,,,,,,,,0.065,69.4,1.27,0.04
114.0,,,,,,,,,0.063,68.5,1.31,0.043
117.0,,,,,,,,,0.062,68.3,1.33,0.043
120.0,,,,,,,,,0.061,67.2,1.33,0.048
123.0,,,,,,,,,0.061,67.1,1.31,0.049
126.0,,,,,,,,,0.06,64.9,1.3,0.05
129.0,,,,,,,,,0.059,65.0,1.29,0.052
132.0,,,,,,,,,0.058,62.3,1.27,0.055
135.0,,,,,,,,,0.058,61.2,1.25,0.057
138.0,,,,,,,,,0.057,60.3,1.25,0.054
141.0,,,,,,,,,0.056,61.9,1.29,0.048
144.0,,,,,,,,,0.056,59.2,1.28,0.047
147.0,,,,,,,,,0.055,58.8,1.28,0.05
150.0,,,,,,,,,0.054,55.8,1.28,0.053
153.0,,,,,,,,,0.054,54.6,1.25,0.065
156.0,,,,,,,,,0.053,53.8,1.28,0.064
159.0,,,,,,,,,0.053,56.2,1.32,0.063
162.0,,,,,,,,,0.053,55.7,1.3,0.064
165.0,,,,,,,,,0.052,58.0,1.36,0.055
168.0,,,,,,,,,0.052,59.4,1.39,0.056
171.0,,,,,,,,,0.052,60.9,1.41,0.056
174.0,,,,,,,,,0.051,59.8,1.43,0.059
177.0,,,,,,,,,0.05,60.5,1.44,0.062
180.0,,,,,,,,,0.05,57.7,1.42,0.066
183.0,,,,,,,,,0.05,60.4,1.44,0.071
