Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),MLR (g/s),HRRPUA (kW/m2),CO2 (kg/kg),CO (kg/kg)
0.0,,,,,,,,,0.0,-0.1,0.0,0.0
3.0,,,,,,,,,0.0,0.1,0.0,0.0
6.0,,,,,,,,,0.0,0.0,0.0,0.0
9.0,,,,,,,,,0.0,-0.2,0.0,0.0
12.0,,,,,,,,,0.204,0.2,0.07,0.004
15.0,,,,,,,,,0.204,0.2,0.07,0.005
18.0,,,,,,,,,0.202,0.4,0.07,0.006
21.0,,,,,,,,,0.199,2.3,0.1,0.009
24.0,,,,,,,,,0.199,14.2,0.4,0.034
27.0,,,,,,,,,0.199,33.9,0.94,0.077
30.0,,,,,,,,,0.197,49.0,1.33,0.108
33.0,,,,,,,,,0.195,54.2,1.49,0.115
36.0,,,,,,,,,0.193,51.9,1.46,0.105
39.0,,,,,,,,,0.193,49.6,1.42,0.099
42.0,,,,,,,,,0.192,50.7,1.47,0.105
45.0,,,,,,,,,0.19,55.6,1.6,0.121
48.0,,,,,,,,,0.189,61.9,1.79,0.137
51.0,,,,,,,,,0.187,64.4,1.9,0.125
54.0,,,,,,,,,0.187,60.1,1.81,0.093
57.0,,,,,,,,,0.187,57.5,1.79,0.094
60.0,,,,,,,,,0.186,55.5,1.76,0.097
63.0,,,,,,,,,0.184,55.0,1.74,0.094
66.0,,,,,,,,,0.183,57.3,1.83,0.082
69.0,,,,,,,,,0.183,61.0,1.94,0.071
72.0,,,,,,,,,0.182,64.4,2.03,0.061
75.0,,,,,,,,,0.181,66.7,2.14,0.054
78.0,,,,,,,,,0.179,65.7,2.12,0.05
81.0,,,,,,,,,0.176,63.6,2.1,0.047
84.0,,,,,,,,,0.173,60.8,2.08,0.045
87.0,,,,,,,,,0.17,58.3,2.04,0.043
90.0,,,,,,,,,0.166,55.7,1.99,0.044
93.0,,,,,,,,,0.162,57.1,2.09,0.054
96.0,,,,,,,,,0.158,58.0,2.15,0.055
99.0,,,,,,,,,0.154,59.4,2.25,0.054
102.0,,,,,,,,,0.149,59.6,2.33,0.055
105.0,,,,,,,,,0.145,59.6,2.39,0.057
