Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
0.0,,
1.0,-0.8013929864253394,
2.0,-0.6596884049773756,-0.9203819448422784
3.0,-0.5007447586727,-1.5032656532518949
4.0,-0.16418656674208132,-2.887955463507635
5.0,0.06744983031674205,2.6115588059830013
6.0,-0.34366600678733045,-2.1617610664535127
7.0,0.08087713046757157,2.1282535623559258
8.0,0.5927953619909502,2.0577501939176344
9.0,0.7125521870286575,1.7339894896097452
10.0,0.4184478695324283,1.930498144339364
11.0,0.07734479638009055,2.8661063312768
12.0,-0.03081106711915534,-2.3535031232195753
13.0,0.5226668740573152,2.0805873151330334
14.0,0.9302423453996983,1.7526142717458042
15.0,0.8565786764705882,2.83615416454931
16.0,0.29071964555052787,4.034588924000078
17.0,2.6605277337858215,12.752469129792175
18.0,10.873135576923076,30.146201061599776
19.0,27.03623252262443,47.71820870414411
20.0,49.70346538461538,59.317370206423334
21.0,77.71514111990949,61.92984085701995
22.0,106.85013139140271,53.22191678284229
23.0,133.27719824660633,39.68205219592108
24.0,150.29208250377073,22.26007033846534
25.0,162.69631738310707,9.773666729543862
26.0,170.36658369155353,3.5255940787300797
27.0,171.06587392533936,10.231020393297143
28.0,169.85138386123683,16.105258542863503
29.0,165.4531964366516,19.70056207552378
30.0,159.55456964555052,22.142298947467427
31.0,154.072948453997,22.027062350558875
32.0,147.69748885746606,21.258054043785986
33.0,140.0411951923077,18.75588019672849
34.0,133.33677669683257,16.13183234313318
35.0,128.00640265837103,15.909510888801574
36.0,123.70430693815986,15.868282109381129
37.0,119.38320759803919,15.356105975657545
38.0,113.94566336726997,14.706373839864877
39.0,110.96259019607841,12.96325016889341
40.0,107.27518691553543,12.079791326526284
41.0,104.48540490196076,12.741751890084775
42.0,101.73572858220211,13.160294389268756
43.0,99.95974900075414,12.865522174506864
44.0,97.13906464932126,12.13334294776084
45.0,94.88806191553543,11.138130844152881
46.0,93.0157503582202,11.73633978579792
47.0,90.85265601432879,11.705360344318674
48.0,89.66883974358973,11.334975133264589
49.0,88.53921300904976,10.303712385915368
50.0,87.06672175716439,10.027841461889222
51.0,86.00971018099547,8.289241418838621
52.0,84.94221583710407,8.545399347757225
53.0,82.98099000754148,8.854487321477674
54.0,83.1459213612368,9.013645133105392
55.0,82.45495784313725,8.10529874688582
56.0,81.6763181561086,7.392538109641959
57.0,80.04680307315233,6.93763160073289
58.0,79.16001881598793,7.1156802823561724
59.0,78.1477523567119,7.737789451591637
60.0,77.48726261312216,7.692187188331529
61.0,77.21869779411765,6.868520577288585
62.0,75.88713295625942,6.28721847623749
63.0,74.58736263197586,6.333784863137053
64.0,73.34659128959275,6.250950376224899
65.0,73.28080859728506,6.143098981387717
66.0,72.96083167420814,5.9800719670586595
67.0,71.86034462669683,5.690146339501402
68.0,71.16897647058823,4.5356746965336425
69.0,70.32369898190045,4.986067502701676
70.0,69.96138229638008,4.701011312300904
71.0,69.93511478129713,6.189300354412729
72.0,69.86233964932126,5.996298835591846
73.0,70.11214049773756,5.769473530467108
74.0,69.43565991704374,5.917112442737363
75.0,68.29865921945701,5.3314604599838695
76.0,67.04804025263951,5.758399064770839
77.0,66.53279664404222,6.453295274507173
78.0,66.18888804675716,5.9820487251442005
79.0,66.05651906108598,7.014587601296091
80.0,64.9399536387632,5.9363533126780705
81.0,63.79717007918551,5.177137412430468
82.0,63.17434121417798,5.652229151178082
83.0,63.50121084087482,6.7192941577744545
84.0,63.92051627073906,6.9269197675045735
85.0,63.657197096530915,6.675763410064964
86.0,63.25545620286575,5.791262798624049
87.0,62.774382711161394,4.947884073047799
88.0,62.40303369155353,5.202331691648434
89.0,62.19874053544495,6.550093332316257
90.0,62.60929966063349,6.439184975287635
91.0,61.90630580693816,6.345062714161749
92.0,61.456623887631984,6.513971778321784
93.0,61.329914102564096,5.739711099591224
94.0,60.50429021493212,6.524742340881916
95.0,60.47624078054298,6.881232936862479
96.0,60.66123917797889,6.958788799152172
97.0,60.33620231900452,7.659529635237873
98.0,59.98790953996983,6.485681189315886
99.0,59.2223164969834,5.960268486070073
100.0,59.262300037707384,6.915962386235255
101.0,59.42801928733031,7.323536445763992
102.0,59.61155750377073,7.054387762176608
103.0,59.321955844645544,7.293938088292907
104.0,59.53578757541478,7.1508991931907095
105.0,59.10814464555052,6.514349989498133
106.0,59.621687085218696,6.577617183313961
107.0,60.11772122926093,6.610040980921325
108.0,60.4715991704374,6.603229421973644
109.0,60.06857995852186,7.167598015454464
110.0,59.21300309200603,6.940005201952024
111.0,58.47958578431372,6.723317209641139
112.0,59.52820003770739,6.996936598727576
113.0,60.3945584276018,7.196749039980483
114.0,59.83573685897435,7.129196543354202
115.0,60.12654841628959,7.802783574417817
116.0,59.67118900829562,8.116968418706646
117.0,59.43613697209653,8.411442536471132
118.0,60.30045908748114,8.966416394213045
119.0,60.630340328054295,8.845153772373823
120.0,60.27045169683257,9.269970975601792
121.0,60.16795062217194,9.529563270091387
