Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
0.0,,
1.0,,
2.0,,
3.0,,
4.0,-1.8116825791855202,
5.0,0.6912886877828054,1.4710607881288396
6.0,0.5159377828054298,1.4992561111024687
7.0,-0.42888574660633483,-2.076892600527218
8.0,-1.8984567873303164,-0.5827364570893299
9.0,-1.6948642533936649,-3.247046657584678
10.0,-0.069903959276018,-4.124644402724062
11.0,0.01213676470588243,1.9055284716848537
12.0,-0.10508223981900455,-2.2042710080648544
13.0,-1.6066534502262444,-2.1612879545771144
14.0,-3.0804009049773753,-0.28935737363830194
15.0,-2.6556567307692305,-2.1053927633134153
16.0,-0.7342361425339367,-2.9967134993329303
17.0,-0.29484259049773753,-0.09629378546409303
18.0,-0.05091708144796381,-2.5353761580391017
19.0,-1.1096005656108598,-2.5855156280870704
20.0,-2.463605882352941,-0.435947808429213
21.0,-1.8437203619909501,-1.8767647436448087
22.0,-1.3953624434389138,-1.6009902193616794
23.0,-1.307460124434389,-1.7792799151974728
24.0,-1.5674795248868776,-4.36820557373576
25.0,-2.8425244909502263,-3.321245915799248
26.0,-2.934256108597285,-1.6831998615568335
27.0,-1.683410180995475,-0.5208390171099437
28.0,-0.9354417986425339,-0.010949516510891802
29.0,-0.8104542986425337,-3.3408522110756524
30.0,-1.2842127828054297,-5.276079167570342
31.0,-2.3167452488687785,-3.815205196500062
32.0,-2.099229411764706,-0.8384761825862339
33.0,-0.805197737556561,-1.4070833023646143
34.0,-0.8057697963800905,-0.8928486945867351
35.0,-0.8705197963800906,-3.1041475761578172
36.0,-1.6994692873303168,-4.537734344535781
37.0,-2.124714253393665,-2.562636564264031
38.0,-1.830483201357466,-0.10565255168567972
39.0,-0.6003411199095022,-1.677522929954165
40.0,-0.545120757918552,-0.020530173480330385
41.0,-0.5842481334841629,-3.132569989193866
42.0,-1.572034841628959,-3.5355179080417605
43.0,-2.574246153846154,-0.19130789962893013
44.0,-1.7520292986425339,-2.0465575596354055
45.0,-0.47875135746606345,-3.0393892333350014
46.0,0.2681671380090498,0.044459818803833456
47.0,0.37449745475113105,3.4670035003858923
48.0,-1.203830486425339,-3.7081329919690766
49.0,-2.021259332579185,-1.8019022128703295
50.0,-1.3856238687782805,-0.8364303722880859
51.0,-0.10305395927601813,-1.8278300747663239
52.0,0.3244267533936651,0.8450587547971143
53.0,-0.09629072398190042,-3.099497149229691
54.0,-1.472260011312217,-2.1101030223537944
55.0,-2.1050699660633483,-0.34890784302189687
56.0,-1.1460186651583708,-2.6981599780348238
57.0,-0.2597244343891404,-2.564907624867136
58.0,-0.18910650452488684,-0.8816043369451358
59.0,-0.8637675339366514,-3.6698651568679184
60.0,-2.120470814479638,-2.5237901654356873
61.0,-2.5817178167420813,-0.20484443508972405
62.0,-1.5010438348416288,-2.159454436292232
63.0,-0.4398515271493213,-1.9494267645153918
64.0,-0.0817344457013574,-1.3696545566452036
65.0,-0.7484340497737555,-2.936972815025618
66.0,-2.302783088235294,-1.9160244479865454
67.0,-2.535723133484163,-0.4211338413738998
68.0,-1.685116346153846,-1.710356841416596
69.0,-1.2790732466063348,-0.14844323053442038
70.0,-0.767893552036199,-2.8663571643793673
71.0,-1.4182021493212666,-3.737881790146035
72.0,-2.459230656108597,-1.7093663319967503
73.0,-1.9520485294117647,-0.3834096146081427
74.0,-0.9556854072398191,-2.129586613806405
75.0,-0.41981283936651576,-0.5099464530909302
76.0,-0.25123207013574644,-4.065930463059657
77.0,-0.5112657805429863,-4.2135841176849045
78.0,-1.0898485294117644,-2.0428684459760924
79.0,-0.5448147624434388,-0.5599008275402937
80.0,0.08259926470588236,0.9264129897617243
81.0,0.20478518099547516,1.9619247168939544
82.0,0.18944835972850682,5.116978142066997
83.0,-0.9628305429864255,-4.55320710474153
84.0,-1.2362237556561086,-1.775215730984203
85.0,-0.12723433257918554,-1.376430623347452
86.0,0.6893557692307692,2.4633550926705152
87.0,0.824549886877828,0.547595649748005
88.0,0.9447069570135745,2.5356141266673853
89.0,-0.3221700791855203,-0.8911438793347634
90.0,-0.9989544117647058,-1.878455880699995
91.0,-0.1416121040723981,-4.178484024976117
92.0,0.621081504524887,3.9029223526324373
93.0,0.8062076923076923,0.4010012154843497
