Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
0.0,0.5254472785861595,3.8158526600010036
1.0,-1.0826030650644456,-2.630702450502761
2.0,-1.486735104212336,-0.1527722121511737
3.0,-0.10828810668614253,-2.2760132234361534
4.0,2.0102710225181823,2.1216836394054543
5.0,2.062503135936067,1.6190243171481216
6.0,0.7797921102422395,2.39622739285916
7.0,-0.5467813801400755,-1.694901417953006
8.0,-0.5190158357535634,-1.5419236132956158
9.0,1.0260898974154449,2.509192131849922
10.0,1.8299479376031333,3.0501664243032325
11.0,1.2908548837819194,1.5221554566551618
12.0,-0.06758486910117645,-2.134469814369322
13.0,-1.4330040839984992,-1.7202130891799308
14.0,-1.1807479598412443,-0.8859497753183888
15.0,0.5509358380725414,1.2844813377439257
16.0,2.0527244337099284,1.5552792554335486
17.0,1.5917905769983713,3.17192513853311
18.0,0.2937174130286689,3.796623972610966
19.0,-0.5328842742919155,-2.7396320817217803
20.0,0.07545289750371793,1.5856837384404605
21.0,2.035735331383982,1.2717776833996077
22.0,2.570157797981278,1.7364289067799796
23.0,1.530855062093333,3.401051163263218
24.0,-0.29038872683900446,-3.3413893666678893
25.0,-1.3780934526488535,-1.604801044359305
26.0,-1.1334579660874773,-1.0002300375001576
27.0,0.9023269847688876,1.9236239653033245
28.0,1.2767016147541816,1.0982716826021452
29.0,0.20682609451200226,2.670725093163334
30.0,-1.3429069506738724,-2.3566210377370087
31.0,-1.6142592730351433,-1.288173272789326
32.0,-0.21459780099487177,-1.6175860144219016
33.0,1.8778930864104257,1.4929627988765541
34.0,1.7898417999048188,1.1702631230036276
35.0,0.11772542998773372,2.544331744161432
36.0,-1.50413283243543,-1.7097766353886545
37.0,-1.6218684561936574,-0.3530238882136702
38.0,-0.5313689522970928,-1.0492700784726632
39.0,1.0263910129378997,1.1730794147183887
40.0,0.43984232503102577,1.8279563367816076
41.0,-1.0813291295898717,-3.06279595709986
42.0,-2.2948366358349097,-2.0515034448014684
43.0,-2.2397201464781182,-0.7278547905503435
44.0,-0.9102150138247019,-1.7515562177421349
45.0,0.01549887209559575,1.5264228084761706
46.0,-0.5720482650562669,-1.1208509497508363
47.0,-2.139000834063744,-1.7724764495831524
48.0,-3.1744908632651962,-0.5726942392771867
49.0,-2.792474448053382,-1.101953277503085
50.0,-0.3345649020369685,-2.026972398040975
51.0,0.30974501491674206,1.24891599499723
52.0,-0.8360464966478016,-2.425367522964747
53.0,-2.4805220217421193,-2.5915795215938995
54.0,-3.294148159736972,-1.2776073069814593
55.0,-2.628736672436689,-0.3019921536344292
56.0,-0.668507829713537,-1.3008990974310362
57.0,-0.456375972294868,-0.7379384910911926
58.0,-1.057832908884785,-2.403779212587599
59.0,-2.6564412833541895,-2.5232517410166944
60.0,-3.079929066718322,-1.33478266969419
61.0,-1.9762278747435331,-1.5368937725823002
62.0,-0.11168569436910647,-1.9566515521573655
63.0,0.32938418276495474,0.6138196466977333
64.0,-0.8754107693413876,-2.2730607066665898
65.0,-2.0080060714098753,-2.1631710076885877
66.0,-2.353702930350083,-0.9905677507953192
67.0,-1.1012594477220814,-1.185087286961994
68.0,0.57969346326727,1.3423488911268115
69.0,0.6552933202831598,1.356508934293544
70.0,-0.2983844072202187,-2.305356979115593
71.0,-1.6059219758224434,-1.4159247915711974
72.0,-1.588769280755358,-0.7691966460513655
73.0,0.2275415227422426,2.225444682888118
74.0,1.6620943196563953,1.991850264133069
75.0,1.1597653302807578,1.3589741473613115
76.0,-0.24288669346307698,-2.066372699020962
77.0,-1.1569328789085518,-0.976327640276912
78.0,-0.906675434761957,-1.2274341142400518
79.0,0.8332615754948266,2.346793654809642
80.0,1.8906819442507878,1.5060629517469633
81.0,1.2978326054507126,1.2707680044256513
82.0,-0.3809702345046606,-1.6491135308122877
83.0,-1.3505250221450378,-0.7446449995335518
84.0,-1.147001373710475,-0.9726566241803818
85.0,0.601648569887647,2.6741449752854125
86.0,1.6546617853827488,1.1052749649866749
87.0,0.8929279451437858,1.722403831357619
88.0,-0.43756005282559207,-2.082562822426034
89.0,-0.8755824890688761,-1.1636855303600158
90.0,0.11157464591437412,1.7151822382888249
91.0,1.962070482272319,2.34345228248255
92.0,2.2243410452150827,0.8759612907260338
93.0,1.1664575581911347,2.2233207651427542
94.0,-0.1602821434359502,-1.6602528823782565
95.0,-0.704945335650196,-0.6909959355096184
96.0,0.3924668895139178,1.056555104364012
97.0,2.3580783052692573,1.3142496718935082
98.0,2.325334782595856,1.020438558849998
99.0,1.2998164239648116,2.5439531073507644
100.0,-0.03175615931397052,-1.7434440946445282
101.0,0.06449002321704755,1.2011959913735144
102.0,1.4308618782465345,2.083789623442588
103.0,3.348230347984815,2.438573190621034
104.0,3.1585957705310137,1.470558322019384
105.0,1.739079965406395,2.419490139889278
106.0,0.42639012885118016,1.9451678837634852
107.0,0.48925959406299,2.0031758006954576
108.0,2.146620336026983,2.734675174049961
109.0,3.1828338979983894,2.5696265072419946
110.0,2.524233987162892,1.4960817022030115
111.0,1.1594773472537745,2.179662991708612
112.0,0.15429263420009046,2.0813921376427973
113.0,-0.011426471958306964,-1.9613579863288877
114.0,1.5821909669952827,2.276849948210421
115.0,2.2428439502026882,1.0132447826793591
116.0,1.1552884004627637,3.0466292044233794
117.0,-0.20060488291685516,-3.0817517579111717
118.0,-0.9926538212838385,-1.8722138053163304
