Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
0.0,,
1.0,,
2.0,,
3.0,,
4.0,-3.5970581447963803,
5.0,-2.251507635746606,-1.9392551454532603
6.0,-0.22251498868778274,-2.880188700949778
7.0,0.7644052601809954,0.02713634258040213
8.0,0.4409484162895927,2.816622280994209
9.0,-1.0790970022624435,-2.2289604732203134
10.0,-1.8946711538461538,-0.4127799826740378
11.0,-0.8680553733031673,-2.096368672971069
12.0,0.8356629524886876,3.1748634535910387
13.0,1.3599764705882351,0.22073538016561367
14.0,1.131878846153846,2.603478060076125
15.0,-0.112985520361991,-1.537096882503994
16.0,-0.8850555429864253,-0.14496872858256524
17.0,-0.2574174208144796,-1.6151347546690569
18.0,0.9608839366515836,1.419790267188792
19.0,1.3248201357466063,2.0178602228429154
20.0,0.3397433823529412,3.716588517266098
21.0,-1.132999886877828,-2.431362510294568
22.0,-1.9505089366515838,-1.1187723507751228
23.0,-0.41454202488687786,-1.0533293782079431
24.0,1.0189153846153847,0.9154471554020361
25.0,1.2734666289592758,2.5201997587637033
26.0,-0.01842692307692273,-3.5406607500541596
27.0,-1.376427092760181,-1.9732213876390485
28.0,-1.3559175339366516,-1.259028740591482
29.0,0.15623201357466043,3.112124764514623
30.0,1.2300026583710406,1.8627900259501529
31.0,0.8558312782805428,1.8744099340824385
32.0,-0.7191899886877827,-2.55599847937146
33.0,-1.9920800339366513,-0.9373705852075593
34.0,-1.7009797511312215,-1.0901583629946232
35.0,-0.05252912895927586,-2.468739902783942
36.0,0.7344691176470587,0.37811367277909297
37.0,0.7761661199095024,3.057315110143174
38.0,-0.5118302601809955,-3.232975312628521
39.0,-1.4857475113122172,-1.3728062211571417
40.0,-0.8925904977375565,-0.6210378077720848
41.0,0.6735519230769231,1.7959523572475924
42.0,1.2807513574660632,0.8618471815568175
43.0,0.9437587669683256,3.4674453621346792
44.0,-0.6442566742081446,-3.0640910968559667
45.0,-1.474818099547511,-1.0207134380100742
46.0,-0.5697019796380091,-0.9271447332950157
47.0,1.0083321832579184,1.4798193934704211
48.0,1.426212443438914,1.7368641469237802
49.0,0.6601014140271493,3.7255271788706272
50.0,-1.3641049773755656,-2.0120310713076
51.0,-1.5288182126696834,-0.48531122078588335
52.0,-0.4136300339366515,-1.2531396769544572
53.0,1.488333371040724,0.5852564448760381
54.0,1.968028902714932,2.92385766401316
55.0,0.44942533936651574,4.771192127490364
56.0,-1.149524264705882,-3.703397936197683
57.0,-1.340801300904977,-1.728640191098651
58.0,-0.02183003393665158,-0.011066461093934122
59.0,0.5966191176470588,0.2103247526122845
60.0,1.1683631221719453,4.167864464966626
61.0,-0.5233867647058823,-4.43428678216347
62.0,-1.8463559389140272,-2.8134566983171214
63.0,-1.3316397624434388,-0.16942734417122526
64.0,0.34401176470588235,1.6133852253118046
65.0,0.8884926470588235,0.6992047829173329
66.0,0.6316283371040721,4.140093326072254
67.0,-1.3029566742081446,-3.4504518424126496
68.0,-2.4687367647058824,-1.6265548491430395
69.0,-1.8345163461538458,-0.7324823958860129
70.0,-0.041698190045248884,-2.4166439706589333
71.0,0.6826402149321267,0.14825173577942488
72.0,0.7935751131221718,3.2474704417166613
73.0,-0.7033628393665157,-3.0557066821843386
74.0,-1.9562723981900452,-0.645713274772939
75.0,-1.7547810520361988,-0.8680883587742477
76.0,-0.2863700791855202,-1.535451579406457
77.0,-0.19432007918552036,-0.7907873494675883
78.0,-0.4807972285067873,-2.22476278660684
79.0,-1.923893721719457,-1.260109318137528
80.0,-2.571072341628959,-0.5766917339730984
81.0,-1.1100701357466063,-2.187731588478209
82.0,0.8109577488687782,2.6128952985892333
83.0,1.6751548642533933,1.087213311244654
84.0,0.4412483031674207,3.419597190021902
85.0,-0.9986544117647058,-2.166158112537809
86.0,-1.2969681561085973,-0.6955146293951067
87.0,0.19189632352941177,2.501425033860287
88.0,1.545691628959276,1.8453647231506527
89.0,1.7816721153846153,1.6353988832224386
90.0,0.6339860859728507,2.7941047695072516
91.0,-0.31031719457013573,-0.8775681490410756
92.0,-0.3461247737556561,-1.3973559447349158
93.0,1.1164198529411764,3.161990590637429
94.0,1.8402447398190045,1.4223832853478107
95.0,1.599218721719457,2.2401231616284747
