Time (s),HRRPUA (kW/m2),Uc HRRPUA (kW/m2)
0.0,0.8724493433630901,1.7741661919124208
1.0,0.5636959759041503,1.7364371578621585
2.0,1.0869079063906522,2.819021147750287
3.0,1.8019569845855623,2.8910130249960297
4.0,1.1981115666619144,1.5847985692896476
5.0,0.1557316895714981,2.258536096239665
6.0,-0.7812529467972276,-2.1080837246621074
7.0,-1.0576715887672437,-1.5013424144235317
8.0,-0.06267987956592891,-2.35412884060911
9.0,0.5700763898985164,2.1939543167846893
10.0,0.2683445999184068,0.6209895223430579
11.0,0.04938362457058291,1.9831412328408924
12.0,-0.5918620152116272,-1.4408705006980038
13.0,-0.47925972072185935,-1.6633383200751977
14.0,1.0250892552460202,2.5821824384569547
15.0,1.3788739334724918,1.9418616135690758
16.0,0.8919954844392488,1.3486212620003404
17.0,0.5449845792394522,2.502293585492235
18.0,0.24307602727175115,1.5549667987804514
19.0,0.6495954764112847,2.0047512346165584
20.0,1.8961367753495295,3.0127222408114176
21.0,1.6460122889750994,1.572576558244947
22.0,0.502849763803317,1.574282548017707
23.0,-0.1030167245806158,-3.0499499684518874
24.0,0.549070022237382,1.4755245920840352
25.0,3.200314306179815,5.9404500305538885
26.0,7.526944704384135,11.909598203237277
27.0,11.649874642620361,18.438236244819066
28.0,16.944214748073794,28.00187817935172
29.0,23.333697929268098,40.3882392976453
30.0,31.05213400879946,54.89090994593486
31.0,39.820716318540875,69.45367670820664
32.0,47.22641122920387,80.51731770731085
33.0,50.564294150116716,85.91513285588532
34.0,53.66253957716347,90.65796737976564
35.0,58.83515009649805,101.72950505210696
36.0,63.12217991206298,111.24156832014712
37.0,68.98300416504047,120.54747708163026
38.0,73.12809504419847,121.55450731433521
39.0,81.24913041911226,126.59428274836577
40.0,87.15874538566884,125.96966846980472
41.0,92.09678373060194,124.37585138403857
42.0,102.82163343300654,126.9171735234154
43.0,115.23947628974015,123.53921474023305
44.0,129.2963494070713,117.17795937140255
45.0,139.14962505414167,103.2264777510548
46.0,153.87564862126126,100.93917360566509
47.0,164.52572115303224,93.50352856232585
48.0,176.30380073239408,91.24043236104757
49.0,185.5567136320124,84.90745683257984
50.0,197.64646733743083,74.44719043478806
51.0,211.12291928001216,70.46111256319435
52.0,219.7715994557019,65.00903793827234
53.0,224.92454478205414,57.03790478928887
54.0,232.41844737206475,54.39928482883282
55.0,241.68070039396517,48.98798028595925
56.0,245.02328897405343,45.20333801187068
57.0,248.0598090960735,34.6705568378913
58.0,255.29931228112855,33.51535827297145
59.0,254.98042761476222,36.45481589171113
60.0,260.29709477386774,36.95222307599877
61.0,263.5747277127366,37.791141983353675
62.0,265.1185243800626,31.17283557037469
63.0,263.7038984950613,24.978666769161784
64.0,263.3844920407539,21.73308187680936
65.0,263.252724982766,26.589554292326294
66.0,266.92020531044983,24.317881985123616
67.0,271.49788393933017,21.120848912333937
68.0,273.50630536683605,17.149183679584354
69.0,274.68164512702106,15.55622218538152
70.0,275.92103832359476,18.26965444158204
71.0,276.3382951461229,17.129064736828816
72.0,275.48397179364247,16.554341936168978
73.0,273.79726898926987,14.276299363923693
74.0,275.93530232904226,17.4884661121628
75.0,277.16811886694535,15.993532406005485
76.0,277.85534680247184,9.591874122848955
77.0,280.79857606134215,6.690118649613522
78.0,281.96322542828324,8.222734148844099
79.0,283.10323406714184,8.656659283035943
80.0,286.3650300102598,11.03443783331031
81.0,288.1032755624637,4.550157948255874
82.0,283.7290748635089,8.152681479674248
83.0,288.93185332848526,11.186421104343983
84.0,294.15946973581254,6.092355350095464
85.0,289.35431264415234,9.222435015873026
86.0,294.1266282492766,18.787654712421922
87.0,296.9599500224138,16.23939432348234
88.0,291.416384478727,17.062028251305808
89.0,298.916888482396,16.203845647150473
90.0,297.06010493152365,19.974212518895367
91.0,295.9395471547651,13.70976187761361
92.0,293.236285250298,17.74129585702481
93.0,297.21106178936003,25.557229665732674
94.0,295.59711831935994,20.289603946303295
95.0,300.0714624385168,19.705404520305844
96.0,302.88800372992165,23.36789179727369
97.0,295.6759458997988,17.472428285926355
98.0,297.7598753353686,18.424496838761115
